id_marcador_mapa,nome,camada,data,data_original,hora_marcador,status_data,uf,endereco_ou_localizacao,latitude,longitude,link,site_leiloeiro,fonte_data_hora,link_edital,resumo_edital,descricao
marcador-1250,[EMPRESA] - Caminhões - São Paulo / SP,ATUALIZAÇÃO 11/08/2026,2026-08-29,29/08/2026,09:00,futuro_ou_hoje,SP,Rua Tabatinguera,,,https://www.allianceleiloes.com.br/lotes/514-01-cavalo-mecanico-mercedes-benz-axor-2041-ls,,mapa,,,https://www.allianceleiloes.com.br/lotes/514-01-cavalo-mecanico-mercedes-benz-axor-2041-ls
marcador-1251,[PREFEITURA] - Imóveis - Nova Prata do Iguaçu / PR,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,04:00,futuro_ou_hoje,PR,Rua Vereador Valmor Gomes,,,https://www.eckertleiloes.com.br/evento/municipio-de-nova-prata-do-iguacu-pr-790600?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&,,mapa,,,https://www.eckertleiloes.com.br/evento/municipio-de-nova-prata-do-iguacu-pr-790600?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc& | OBSERVAÇÃO: LOTES EM DIFERENTES LOCAIS DA CIDADE.
marcador-1252,[ÓRGÃO PÚBLICO] - CORREIOS - PORTO ALEGRE/RS - Vans - Cajamar / SP,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,04:00,futuro_ou_hoje,RS,Avenida Doutor Antonio João Abdalla,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link
marcador-1253,[PREFEITURA] - Imóveis - Rio de Janeiro / RJ,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,04:00,futuro_ou_hoje,RJ,Estrada Coronel Pedro Corrêa,,,https://drive.google.com/file/d/1TLkuxtpxFtX4SD-bdUZpGQ46i8jnltrT/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1TLkuxtpxFtX4SD-bdUZpGQ46i8jnltrT/view?usp=drive_link
marcador-1254,[ÓRGÃO PÚBLICO] - DETRAN - 2 - Sucatas - São Luís / MA,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,05:00,futuro_ou_hoje,MA,Avenida Engenheiro Emiliano Macieira,,,https://www.vipleiloes.com.br/evento/detalhes/100826tdmas,,mapa,,,https://www.vipleiloes.com.br/evento/detalhes/100826tdmas
marcador-1255,[ÓRGÃO PÚBLICO] - CORREIOS - PORTO ALEGRE/RS - Vans - Cajamar / SP,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,05:00,futuro_ou_hoje,RS,Avenida Doutor Antonio João Abdalla,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link
marcador-1256,[PREFEITURA] - CORREIOS - PORTO ALEGRE/RS - Vans - Cajamar / SP,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,05:00,futuro_ou_hoje,RS,Avenida Doutor Antonio João Abdalla,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1of8YRZJf08jaf1XFtPhq0cUlJBLHEa4k/view?usp=drive_link
marcador-1257,[EMPRESA] - UNIMED - Veículos - Maceió / AL,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,09:00,futuro_ou_hoje,AL,Avenida Fernandes Lima,,,https://www.leiloesfreire.com.br/leilao/1139,,mapa,,,https://www.leiloesfreire.com.br/leilao/1139
marcador-1258,[ÓRGÃO PÚBLICO] - DETRAN - 2 - Sucatas - São Luís / MA,ATUALIZAÇÃO 11/08/2026,2026-08-31,31/08/2026,05:00,futuro_ou_hoje,MA,Avenida Engenheiro Emiliano Macieira,,,https://www.vipleiloes.com.br/evento/detalhes/100826tdmas,,mapa,,,https://www.vipleiloes.com.br/evento/detalhes/100826tdmas
marcador-1260,[PREFEITURA] - Imóveis - Rio Verde / GO,ATUALIZAÇÃO 11/08/2026,2026-09-01,01/09/2026,04:00,futuro_ou_hoje,GO,Avenida Flamboyant,,,https://drive.google.com/file/d/1ewhPwJFLoBbCBiDDRxtj2Nw9Z4bj5UKb/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1ewhPwJFLoBbCBiDDRxtj2Nw9Z4bj5UKb/view?usp=drive_link
marcador-1269,[PÁTIO] - CAMINHÕES/EQUIMENTOS/JETSKIS - Rio Grande/RS,ATUALIZAÇÃO 11/08/2026,2026-09-03,03/09/2026,09:00,futuro_ou_hoje,RS,Av. Pres. Vargas,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista,,mapa,,,https://www.lipinskileiloes.com.br/leilao/veiculo-vw-8-150e-delivery-reb-piramide-prb500-semi-reboque-22-04-2026-14-59-24/lotes/lista
marcador-1270,[PREFEITURA] - Imóveis - Nova Prata do Iguaçu / PR,ATUALIZAÇÃO 11/08/2026,2026-09-04,04/09/2026,04:00,futuro_ou_hoje,PR,Rua Vereador Valmor Gomes,,,https://www.eckertleiloes.com.br/evento/municipio-de-nova-prata-do-iguacu-pr-790594?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&,,mapa,,,https://www.eckertleiloes.com.br/evento/municipio-de-nova-prata-do-iguacu-pr-790594?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc& | OBSERVAÇÃO: LOTES EM DIFERENTES LOCAIS DA CIDADE.
marcador-1276,[PREFEITURA] - Imóveis - Passo Fundo / RS,ATUALIZAÇÃO 11/08/2026,2026-09-17,17/09/2026,04:00,futuro_ou_hoje,RS,99010-005 - Passo Fundo - RS - Brasil,,,https://drive.google.com/file/d/1PYQsXs4rdIEDPAp0yxQAHWsKEfae9yqp/view?usp=drive_link,,mapa,,,https://drive.google.com/file/d/1PYQsXs4rdIEDPAp0yxQAHWsKEfae9yqp/view?usp=drive_link
marcador-1277,[PREFEITURA] - IMÓVEIS - Tatuí - SP,ATUALIZAÇÃO 11/08/2026,2026-10-22,22/10/2026,04:00,futuro_ou_hoje,SP,Tatuí,,,https://www.argonetworkleiloes.com.br/evento/prefeitura-municipal-de-tatui-789565?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc&,,mapa,,,https://www.argonetworkleiloes.com.br/evento/prefeitura-municipal-de-tatui-789565?searchType=opened&preOrderBy=orderByFirstOpenedOffers&pageNumber=1&pageSize=30&orderBy=lotNumber:asc;subLotNumber:asc& •
